run_id,session_id,run_index_in_day,run_outcome,run_outcome_ordinal,victory_binary,character,difficulty,difficulty_ordinal,nightlord,enhanced,map,team_type,evergaol_cleared,middle_castle_visited,great_enemies_cleared,enemies_cleared,allies_rescued,runes_obtained,level,total_optional_content,loot_priority_score,buff_to_loot_ratio,risk_taking_score,combat_efficiency,runes_per_level,strategy_type,after_victory
110,34,3,victory,3,1,recluse,depth2,2,Maris,False,base,duo,5,True,15,118,7,742846,15,20,18,0.3125,6,0.12605042016806722,46427.875,buff_focused,0.0
111,34,4,first_day,0,0,guardian,depth3,3,Adel,False,base,duo,2,False,3,32,13,115648,5,5,3,0.5,2,0.09090909090909091,19274.666666666668,speedrun,1.0
112,34,5,final_day,2,0,wylder,depth2,2,Caligo,True,base,duo,6,False,13,85,3,609671,15,19,13,0.42857142857142855,6,0.1511627906976744,38104.4375,buff_focused,0.0
113,34,6,final_day,2,0,wylder,depth2,2,Gnoster,False,base,duo,4,True,10,77,11,672488,15,14,13,0.36363636363636365,5,0.1282051282051282,42030.5,high_risk_castle,0.0
114,35,1,first_day,0,0,wylder,depth2,2,Gladius,True,base,duo,4,False,4,30,4,207141,9,8,4,0.8,4,0.12903225806451613,20714.1,speedrun,0.0
115,35,2,victory,3,1,guardian,depth2,2,Fulghor,False,base,duo,6,True,14,58,9,719810,15,20,17,0.4,7,0.23728813559322035,44988.125,buff_focused,0.0
116,36,1,final_day,2,0,recluse,depth2,2,Adel,True,base,duo,6,False,15,57,18,582322,15,21,15,0.375,6,0.25862068965517243,36395.125,buff_focused,0.0
117,37,1,victory,3,1,revenant,depth2,2,Fulghor,False,base,duo,4,True,14,84,6,1030905,15,18,17,0.26666666666666666,5,0.16470588235294117,64431.5625,loot_focused,0.0
118,37,2,victory,3,1,recluse,depth3,3,Gnoster,False,base,duo,4,True,13,46,17,525799,14,17,16,0.2857142857142857,5,0.2765957446808511,35053.26666666667,loot_focused,1.0
119,38,1,victory,3,1,recluse,depth3,3,Gladius,False,base,duo,6,True,15,73,10,804565,15,21,18,0.375,7,0.20270270270270271,50285.3125,buff_focused,0.0
120,39,1,final_day,2,0,wylder,depth3,3,Gnoster,True,base,duo,5,True,15,98,8,775807,15,20,18,0.3125,6,0.15151515151515152,48487.9375,buff_focused,0.0
121,40,1,final_day,2,0,revenant,depth3,3,Caligo,True,base,duo,4,True,12,62,11,529751,14,16,15,0.3076923076923077,5,0.19047619047619047,35316.73333333333,loot_focused,0.0
